epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9784.65,1.2559,0.65548,0.00537,0.92044,0.87111,0.9332,0.59276,1.289,0.54969,0.00679,0.000740102,0.000740102,0.000740102
43,9988.63,1.24309,0.6464,0.0053,0.91515,0.87437,0.93555,0.59278,1.26769,0.55411,0.00671,0.000717495,0.000717495,0.000717495
44,10192.1,1.24759,0.65682,0.00544,0.91064,0.88189,0.93632,0.60083,1.25924,0.53789,0.00662,0.000694888,0.000694888,0.000694888
45,10399,1.23672,0.63738,0.00531,0.91433,0.87448,0.93905,0.60899,1.25489,0.52328,0.00657,0.000672281,0.000672281,0.000672281
46,10602.2,1.20543,0.61172,0.00519,0.91358,0.87813,0.94372,0.61032,1.25086,0.52067,0.00652,0.000649673,0.000649673,0.000649673
47,10811.9,1.21228,0.61451,0.00519,0.93401,0.86932,0.94514,0.61427,1.24085,0.51398,0.00645,0.000627066,0.000627066,0.000627066
48,11026.5,1.20649,0.60613,0.0051,0.93989,0.86954,0.94398,0.61752,1.22939,0.5079,0.00644,0.000604459,0.000604459,0.000604459
49,11230.5,1.19532,0.60462,0.00512,0.92234,0.8805,0.94631,0.61238,1.24345,0.50363,0.00651,0.000581852,0.000581852,0.000581852
50,11434.6,1.17783,0.58529,0.00498,0.9318,0.8694,0.94774,0.61266,1.25586,0.50642,0.0065,0.000559244,0.000559244,0.000559244
51,11637.6,1.18444,0.60268,0.00499,0.92976,0.8727,0.94448,0.62142,1.2256,0.51287,0.00639,0.000536637,0.000536637,0.000536637
52,11841.4,1.16383,0.58831,0.00494,0.9188,0.89892,0.94717,0.62292,1.23446,0.49187,0.00641,0.00051403,0.00051403,0.00051403
53,12044.8,1.15951,0.58782,0.00492,0.93119,0.90249,0.95424,0.62689,1.22273,0.47761,0.0063,0.000491422,0.000491422,0.000491422
54,12256.8,1.14189,0.56378,0.00485,0.92522,0.89013,0.94857,0.6218,1.21068,0.49922,0.00626,0.000468815,0.000468815,0.000468815
55,12465.4,1.12981,0.55713,0.00477,0.92771,0.89281,0.95047,0.63018,1.20749,0.4874,0.0062,0.000446208,0.000446208,0.000446208
56,12668.8,1.13122,0.55437,0.00477,0.92834,0.89181,0.95405,0.62827,1.20807,0.49233,0.00622,0.000423601,0.000423601,0.000423601
57,12878.5,1.11089,0.54318,0.00468,0.93944,0.89444,0.95646,0.62847,1.20806,0.47208,0.00619,0.000400993,0.000400993,0.000400993
58,13083.9,1.11476,0.54549,0.00472,0.91345,0.9107,0.95198,0.62835,1.20282,0.48593,0.00621,0.000378386,0.000378386,0.000378386
59,13295.6,1.10283,0.5339,0.0046,0.93455,0.88842,0.95283,0.63136,1.20458,0.4745,0.00619,0.000355779,0.000355779,0.000355779
60,13510.4,1.10233,0.54066,0.00464,0.92679,0.90093,0.95224,0.6353,1.18949,0.48414,0.00614,0.000333172,0.000333172,0.000333172
61,13715.9,1.09563,0.52517,0.00453,0.92802,0.9128,0.95561,0.63226,1.1884,0.47012,0.00609,0.000310564,0.000310564,0.000310564
62,13925.5,1.09327,0.52974,0.00458,0.93342,0.90094,0.95331,0.63616,1.18143,0.47484,0.0061,0.000287957,0.000287957,0.000287957
63,14133.2,1.07694,0.51918,0.00448,0.93609,0.90098,0.95654,0.6383,1.18136,0.47394,0.00607,0.00026535,0.00026535,0.00026535
64,14337.5,1.04525,0.43493,0.00486,0.92653,0.90714,0.95629,0.63819,1.18053,0.47586,0.00605,0.000242743,0.000242743,0.000242743
65,14538.1,1.01117,0.41476,0.00468,0.93304,0.90084,0.95517,0.63932,1.17608,0.47054,0.00603,0.000220135,0.000220135,0.000220135
66,14740.3,1.00372,0.41511,0.00464,0.92918,0.90044,0.95371,0.63736,1.17313,0.47467,0.00601,0.000197528,0.000197528,0.000197528
67,14942,1.00435,0.4093,0.00457,0.93512,0.90421,0.95823,0.64151,1.16602,0.46897,0.00596,0.000174921,0.000174921,0.000174921
68,15143.5,0.99687,0.40435,0.00453,0.93917,0.90688,0.95568,0.64045,1.17031,0.46324,0.00598,0.000152314,0.000152314,0.000152314
69,15345.8,0.9835,0.4008,0.00447,0.94459,0.89624,0.95395,0.64018,1.16841,0.471,0.00595,0.000129706,0.000129706,0.000129706
70,15546.6,0.9824,0.39977,0.00445,0.94625,0.89937,0.95548,0.64014,1.17091,0.46648,0.00598,0.000107099,0.000107099,0.000107099
71,15748.3,0.96642,0.38556,0.00435,0.93521,0.90535,0.95526,0.64096,1.16635,0.46974,0.00596,8.44918e-05,8.44918e-05,8.44918e-05
72,15953.1,0.96581,0.38913,0.00434,0.93963,0.90384,0.95593,0.64178,1.16659,0.46484,0.00594,6.18845e-05,6.18845e-05,6.18845e-05
73,16160.6,0.95973,0.38907,0.00434,0.93348,0.91187,0.95705,0.64034,1.16537,0.46538,0.00594,3.92773e-05,3.92773e-05,3.92773e-05
